year,month,value,yoy,mom
1991,1,60.5,.,.
1991,2,60.8,.,0.5
1991,3,60.8,.,
1991,4,61.0,.,0.3
1991,5,61.1,.,0.2
1991,6,61.5,.,0.7
1991,7,62.2,.,1.1
1991,8,62.2,.,
1991,9,62.2,.,
1991,10,63.2,.,1.6
1991,11,63.4,.,0.3
1991,12,63.5,.,0.2
1992,1,63.9,5.6,0.6
1992,2,64.3,5.8,0.6
1992,3,64.5,6.1,0.3
1992,4,64.7,6.1,0.3
1992,5,64.9,6.2,0.3
1992,6,65.1,5.9,0.3
1992,7,65.3,5.0,0.3
1992,8,65.3,5.0,
1992,9,65.3,5.0,
1992,10,65.3,3.3,
1992,11,65.6,3.5,0.5
1992,12,65.7,3.5,0.2
1993,1,66.8,4.5,1.7
1993,2,67.3,4.7,0.7
1993,3,67.5,4.7,0.3
1993,4,67.7,4.6,0.3
1993,5,67.8,4.5,0.1
1993,6,68.0,4.5,0.3
1993,7,68.3,4.6,0.4
1993,8,68.3,4.6,
1993,9,68.2,4.4,0.1
1993,10,68.2,4.4,
1993,11,68.3,4.1,0.1
1993,12,68.5,4.3,0.3
1994,1,68.8,3.0,0.4
1994,2,69.4,3.1,0.9
1994,3,69.5,3.0,0.1
1994,4,69.6,2.8,0.1
1994,5,69.7,2.8,0.1
1994,6,69.8,2.6,0.1
1994,7,69.9,2.3,0.1
1994,8,70.1,2.6,0.3
1994,9,69.9,2.5,0.3
1994,10,69.8,2.3,0.1
1994,11,69.9,2.3,0.1
1994,12,70.1,2.3,0.3
1995,1,70.4,2.3,0.4
1995,2,70.8,2.0,0.6
1995,3,70.8,1.9,
1995,4,70.9,1.9,0.1
1995,5,70.9,1.7,
1995,6,71.0,1.7,0.1
1995,7,71.2,1.9,0.3
1995,8,71.2,1.6,
1995,9,71.2,1.9,
1995,10,71.0,1.7,0.3
1995,11,71.0,1.6,
1995,12,71.2,1.6,0.3
1996,1,71.4,1.4,0.3
1996,2,71.8,1.4,0.6
1996,3,71.8,1.4,
1996,4,71.8,1.3,
1996,5,71.9,1.4,0.1
1996,6,72.0,1.4,0.1
1996,7,72.1,1.3,0.1
1996,8,72.1,1.3,
1996,9,72.1,1.3,
1996,10,72.1,1.5,
1996,11,72.0,1.4,0.1
1996,12,72.3,1.5,0.4
1997,1,72.9,2.1,0.8
1997,2,73.0,1.7,0.1
1997,3,73.0,1.7,
1997,4,72.9,1.5,0.1
1997,5,73.1,1.7,0.3
1997,6,73.1,1.5,
1997,7,73.8,2.4,1.0
1997,8,73.8,2.4,
1997,9,73.7,2.2,0.1
1997,10,73.6,2.1,0.1
1997,11,73.6,2.2,
1997,12,73.8,2.1,0.3
1998,1,73.8,1.2,
1998,2,73.9,1.2,0.1
1998,3,73.8,1.1,0.1
1998,4,73.9,1.4,0.1
1998,5,74.0,1.2,0.1
1998,6,74.1,1.4,0.1
1998,7,74.4,0.8,0.4
1998,8,74.2,0.5,0.3
1998,9,74.0,0.4,0.3
1998,10,73.9,0.4,0.1
1998,11,73.9,0.4,
1998,12,74.0,0.3,0.1
1999,1,73.9,0.1,0.1
1999,2,74.0,0.1,0.1
1999,3,74.0,0.3,
1999,4,74.4,0.7,0.5
1999,5,74.4,0.5,
1999,6,74.5,0.5,0.1
1999,7,74.8,0.5,0.4
1999,8,74.8,0.8,
1999,9,74.6,0.8,0.3
1999,10,74.5,0.8,0.1
1999,11,74.7,1.1,0.3
1999,12,74.9,1.2,0.3
2000,1,75.1,1.6,0.3
2000,2,75.1,1.5,
2000,3,75.1,1.5,
2000,4,75.1,0.9,
2000,5,75.1,0.9,
2000,6,75.4,1.2,0.4
2000,7,75.8,1.3,0.5
2000,8,75.6,1.1,0.3
2000,9,75.8,1.6,0.3
2000,10,75.7,1.6,0.1
2000,11,75.8,1.5,0.1
2000,12,76.4,2.0,0.8
2001,1,76.2,1.5,0.3
2001,2,76.6,2.0,0.5
2001,3,76.6,2.0,
2001,4,76.9,2.4,0.4
2001,5,77.2,2.8,0.4
2001,6,77.3,2.5,0.1
2001,7,77.4,2.1,0.1
2001,8,77.2,2.1,0.3
2001,9,77.2,1.8,
2001,10,77.1,1.8,0.1
2001,11,76.9,1.5,0.3
2001,12,77.7,1.7,1.0
2002,1,77.7,2.0,
2002,2,78.0,1.8,0.4
2002,3,78.2,2.1,0.3
2002,4,78.1,1.6,0.1
2002,5,78.2,1.3,0.1
2002,6,78.2,1.2,
2002,7,78.3,1.2,0.1
2002,8,78.2,1.3,0.1
2002,9,78.2,1.3,
2002,10,78.1,1.3,0.1
2002,11,77.8,1.2,0.4
2002,12,78.5,1.0,0.9
2003,1,78.5,1.0,
2003,2,79.0,1.3,0.6
2003,3,79.0,1.0,
2003,4,78.8,0.9,0.3
2003,5,78.6,0.5,0.3
2003,6,78.9,0.9,0.4
2003,7,79.0,0.9,0.1
2003,8,79.0,1.0,
2003,9,79.0,1.0,
2003,10,79.0,1.2,
2003,11,78.8,1.3,0.3
2003,12,79.4,1.1,0.8
2004,1,79.4,1.1,
2004,2,79.6,0.8,0.3
2004,3,79.9,1.1,0.4
2004,4,80.1,1.6,0.3
2004,5,80.3,2.2,0.2
2004,6,80.3,1.8,
2004,7,80.4,1.8,0.1
2004,8,80.5,1.9,0.1
2004,9,80.3,1.6,0.2
2004,10,80.4,1.8,0.1
2004,11,80.3,1.9,0.1
2004,12,81.2,2.3,1.1
2005,1,80.6,1.5,0.7
2005,2,80.9,1.6,0.4
2005,3,81.3,1.8,0.5
2005,4,81.0,1.1,0.4
2005,5,81.2,1.1,0.2
2005,6,81.3,1.2,0.1
2005,7,81.7,1.6,0.5
2005,8,81.8,1.6,0.1
2005,9,81.9,2.0,0.1
2005,10,81.9,1.9,
2005,11,81.7,1.7,0.2
2005,12,82.3,1.4,0.7
2006,1,82.0,1.7,0.4
2006,2,82.4,1.9,0.5
2006,3,82.4,1.4,
2006,4,82.7,2.1,0.4
2006,5,82.7,1.8,
2006,6,82.9,2.0,0.2
2006,7,83.2,1.8,0.4
2006,8,83.0,1.5,0.2
2006,9,82.7,1.0,0.4
2006,10,82.8,1.1,0.1
2006,11,82.8,1.3,
2006,12,83.5,1.5,0.8
2007,1,83.5,1.8,
2007,2,83.8,1.7,0.4
2007,3,84.0,1.9,0.2
2007,4,84.4,2.1,0.5
2007,5,84.4,2.1,
2007,6,84.5,1.9,0.1
2007,7,84.9,2.0,0.5
2007,8,84.8,2.2,0.1
2007,9,84.9,2.7,0.1
2007,10,85.1,2.8,0.2
2007,11,85.6,3.4,0.6
2007,12,86.1,3.1,0.6
2008,1,85.8,2.8,0.3
2008,2,86.2,2.9,0.5
2008,3,86.6,3.1,0.5
2008,4,86.4,2.4,0.2
2008,5,86.9,3.0,0.6
2008,6,87.2,3.2,0.3
2008,7,87.7,3.3,0.6
2008,8,87.4,3.1,0.3
2008,9,87.4,2.9,
2008,10,87.2,2.5,0.2
2008,11,86.8,1.4,0.5
2008,12,87.0,1.0,0.2
2009,1,86.6,0.9,0.5
2009,2,87.1,1.0,0.6
2009,3,87.0,0.5,0.1
2009,4,87.0,0.7,
2009,5,87.0,0.1,
2009,6,87.3,0.1,0.3
2009,7,87.3,0.5,
2009,8,87.5,0.1,0.2
2009,9,87.1,0.3,0.5
2009,10,87.2,,0.1
2009,11,87.1,0.3,0.1
2009,12,87.8,0.9,0.8
2010,1,87.3,0.8,0.6
2010,2,87.6,0.6,0.3
2010,3,88.1,1.3,0.6
2010,4,88.1,1.3,
2010,5,88.1,1.3,
2010,6,88.1,0.9,
2010,7,88.2,1.0,0.1
2010,8,88.3,0.9,0.1
2010,9,88.2,1.3,0.1
2010,10,88.3,1.3,0.1
2010,11,88.4,1.5,0.1
2010,12,89.0,1.4,0.7
2011,1,88.7,1.6,0.3
2011,2,89.3,1.9,0.7
2011,3,89.8,1.9,0.6
2011,4,89.8,1.9,
2011,5,89.8,1.9,
2011,6,89.9,2.0,0.1
2011,7,90.1,2.2,0.2
2011,8,90.2,2.2,0.1
2011,9,90.3,2.4,0.1
2011,10,90.4,2.4,0.1
2011,11,90.5,2.4,0.1
2011,12,90.7,1.9,0.2
2012,1,90.6,2.1,0.1
2012,2,91.2,2.1,0.7
2012,3,91.7,2.1,0.5
2012,4,91.6,2.0,0.1
2012,5,91.5,1.9,0.1
2012,6,91.4,1.7,0.1
2012,7,91.7,1.8,0.3
2012,8,92.1,2.1,0.4
2012,9,92.2,2.1,0.1
2012,10,92.2,2.0,
2012,11,92.2,1.9,
2012,12,92.5,2.0,0.3
2013,1,92.1,1.7,0.4
2013,2,92.6,1.5,0.5
2013,3,93.0,1.4,0.4
2013,4,92.6,1.1,0.4
2013,5,93.0,1.6,0.4
2013,6,93.1,1.9,0.1
2013,7,93.5,2.0,0.4
2013,8,93.5,1.5,
2013,9,93.5,1.4,
2013,10,93.3,1.2,0.2
2013,11,93.5,1.4,0.2
2013,12,93.9,1.5,0.4
2014,1,93.3,1.3,0.6
2014,2,93.8,1.3,0.5
2014,3,94.0,1.1,0.2
2014,4,93.9,1.4,0.1
2014,5,93.8,0.9,0.1
2014,6,94.0,1.0,0.2
2014,7,94.3,0.9,0.3
2014,8,94.3,0.9,
2014,9,94.3,0.9,
2014,10,94.1,0.9,0.2
2014,11,94.1,0.6,
2014,12,94.0,0.1,0.1
2015,1,93.1,0.2,1.0
2015,2,93.8,,0.8
2015,3,94.3,0.3,0.5
2015,4,94.7,0.9,0.4
2015,5,94.9,1.2,0.2
2015,6,94.9,1.0,
2015,7,95.1,0.8,0.2
2015,8,95.0,0.7,0.1
2015,9,94.9,0.6,0.1
2015,10,94.9,0.9,
2015,11,94.3,0.2,0.6
2015,12,94.3,0.3,
2016,1,93.6,0.5,0.7
2016,2,93.9,0.1,0.3
2016,3,94.5,0.2,0.6
2016,4,94.6,0.1,0.1
2016,5,95.1,0.2,0.5
2016,6,95.2,0.3,0.1
2016,7,95.5,0.4,0.3
2016,8,95.4,0.4,0.1
2016,9,95.5,0.6,0.1
2016,10,95.6,0.7,0.1
2016,11,95.0,0.7,0.6
2016,12,95.6,1.4,0.6
2017,1,95.1,1.6,0.5
2017,2,95.6,1.8,0.5
2017,3,95.8,1.4,0.2
2017,4,96.2,1.7,0.4
2017,5,96.2,1.2,
2017,6,96.5,1.4,0.3
2017,7,96.9,1.5,0.4
2017,8,97.0,1.7,0.1
2017,9,97.0,1.6,
2017,10,96.9,1.4,0.1
2017,11,96.5,1.6,0.4
2017,12,96.9,1.4,0.4
2018,1,96.4,1.4,0.5
2018,2,96.7,1.2,0.3
2018,3,97.2,1.5,0.5
2018,4,97.5,1.4,0.3
2018,5,98.2,2.1,0.7
2018,6,98.3,1.9,0.1
2018,7,98.7,1.9,0.4
2018,8,98.8,1.9,0.1
2018,9,99.0,2.1,0.2
2018,10,99.1,2.3,0.1
2018,11,98.5,2.1,0.6
2018,12,98.5,1.7,
2019,1,97.7,1.3,0.8
2019,2,98.1,1.4,0.4
2019,3,98.5,1.3,0.4
2019,4,99.4,1.9,0.9
2019,5,99.6,1.4,0.2
2019,6,99.9,1.6,0.3
2019,7,100.3,1.6,0.4
2019,8,100.2,1.4,0.1
2019,9,100.2,1.2,
2019,10,100.2,1.1,
2019,11,99.5,1.0,0.7
2019,12,100.0,1.5,0.5
2020,1,99.8,2.1,0.2
2020,2,100.1,2.0,0.3
2020,3,100.3,1.8,0.2
2020,4,100.4,1.0,0.1
2020,5,100.4,0.8,
2020,6,100.5,0.6,0.1
2020,7,99.7,0.6,0.8
2020,8,99.7,0.5,
2020,9,99.7,0.5,
2020,10,99.9,0.3,0.2
2020,11,99.7,0.2,0.2
2020,12,99.8,0.2,0.1
2021,1,101.0,1.2,1.2
2021,2,101.6,1.5,0.6
2021,3,102.1,1.8,0.5
2021,4,102.4,2.0,0.3
2021,5,102.6,2.2,0.2
2021,6,102.9,2.4,0.3
2021,7,103.4,3.7,0.5
2021,8,103.5,3.8,0.1
2021,9,103.8,4.1,0.3
2021,10,104.3,4.4,0.5
2021,11,104.5,4.8,0.2
2021,12,104.7,4.9,0.2
2022,1,105.2,4.2,0.5
2022,2,106.0,4.3,0.8
2022,3,108.1,5.9,2.0
2022,4,108.8,6.3,0.6
2022,5,109.8,7.0,0.9
2022,6,109.8,6.7,
2022,7,110.3,6.7,0.5
2022,8,110.7,7.0,0.4
2022,9,112.7,8.6,1.8
2022,10,113.5,8.8,0.7
2022,11,113.7,8.8,0.2
2022,12,113.2,8.1,0.4
2023,1,114.3,8.7,1.0
2023,2,115.2,8.7,0.8
2023,3,116.1,7.4,0.8
2023,4,116.6,7.2,0.4
2023,5,116.5,6.1,0.1
2023,6,116.8,6.4,0.3
2023,7,117.1,6.2,0.3
2023,8,117.5,6.1,0.3
2023,9,117.8,4.5,0.3
2023,10,117.8,3.8,
2023,11,117.3,3.2,0.4
2023,12,117.4,3.7,0.1
2024,1,117.6,2.9,0.2
2024,2,118.1,2.5,0.4
2024,3,...,...,...
2024,4,...,...,...
2024,5,...,...,...
2024,6,...,...,...
2024,7,...,...,...
2024,8,...,...,...
2024,9,...,...,...
2024,10,...,...,...
2024,11,...,...,...
2024,12,...,...,...