year,value,change
1913,9.9,
1914,10.0,1.0
1915,10.1,1.0
1916,10.9,7.9
1917,12.8,17.4
1918,15.1,18.0
1919,17.3,14.6
1920,20.0,15.6
1921,17.9,-10.5
1922,16.8,-6.1
1923,17.1,1.8
1924,17.1,0.0
1925,17.5,2.3
1926,17.7,1.1
1927,17.4,-1.7
1928,17.1,-1.7
1929,17.1,0.0
1930,16.7,-2.3
1931,15.2,-9.0
1932,13.7,-9.9
1933,13.0,-5.1
1934,13.4,3.1
1935,13.7,2.2
1936,13.9,1.5
1937,14.4,3.6
1938,14.1,-2.1
1939,13.9,-1.4
1940,14.0,0.7
1941,14.7,5.0
1942,16.3,10.9
1943,17.3,6.1
1944,17.6,1.7
1945,18.0,2.3
1946,19.5,8.3
1947,22.3,14.4
1948,24.1,8.1
1949,23.8,-1.2
1950,24.1,1.3
1951,26.0,7.9
1952,26.5,1.9
1953,26.7,0.8
1954,26.9,0.7
1955,26.8,-0.4
1956,27.2,1.5
1957,28.1,3.3
1958,28.9,2.8
1959,29.1,0.7
1960,29.6,1.7
1961,29.9,1.0
1962,30.2,1.0
1963,30.6,1.3
1964,31.0,1.3
1965,31.5,1.6
1966,32.4,2.9
1967,33.4,3.1
1968,34.8,4.2
1969,36.7,5.5
1970,38.8,5.7
1971,40.5,4.4
1972,41.8,3.2
1973,44.4,6.2
1974,49.3,11.0
1975,53.8,9.1
1976,56.9,5.8
1977,60.6,6.5
1978,65.2,7.6
1979,72.6,11.3
1980,82.4,13.5
1981,90.9,10.3
1982,96.5,6.2
1983,99.6,3.2
1984,103.9,4.3
1985,107.6,3.6
1986,109.6,1.9
1987,113.6,3.6
1988,118.3,4.1
1989,124.0,4.8
1990,130.7,5.4
1991,136.2,4.2
1992,140.3,3.0
1993,144.5,3.0
1994,148.2,2.6
1995,152.4,2.8
1996,156.9,3.0
1997,160.5,2.3
1998,163.0,1.6
1999,166.6,2.2
2000,172.2,3.4
2001,177.1,2.8
2002,179.9,1.6
2003,184.0,2.3
2004,188.9,2.7
2005,195.3,3.4
2006,201.6,3.2
2007,207.342,2.8
2008,215.303,3.8
2009,214.537,-0.4
2010,218.056,1.6
2011,224.939,3.2
2012,229.594,2.1
2013,232.957,1.5
2014,236.736,1.6
2015,237.017,0.1
2016,240.007,1.3
2017,245.120,2.1
2018,251.107,2.4
2019,255.657,1.8
2020,258.811,1.2
2021,270.970,4.7
2022,292.655,8.0
2023,304.702,4.1